Date,AMZN,CSCO,INTC,MSFT,MSTR,ORCL,QCOM,^IXIC
1999-02-04,2.950000047683716,17.025545120239258,18.45600128173828,24.291072845458984,14.625,7.770527362823486,2.533466339111328,2410.070068359375
1999-02-05,2.8968749046325684,16.378488540649414,18.092557907104492,24.43424415588379,14.625,7.487347602844238,2.5963804721832275,2373.6201171875
1999-02-08,2.7281250953674316,16.489696502685547,18.72194480895996,25.235984802246094,13.65625,7.645596981048584,2.700427770614624,2404.919921875
1999-02-09,2.5,15.519123077392578,17.773439407348633,24.443784713745117,13.53125,7.279141426086426,2.630258560180664,2310.7900390625
1999-02-10,2.4359378814697266,15.943746566772461,18.269851684570312,24.52968978881836,13.5,7.154210567474365,2.5746026039123535,2309.5
1999-02-11,2.746875047683716,16.964876174926758,18.89923667907715,24.854209899902344,13.3125,7.937097072601318,2.637516498565674,2405.550048828125
1999-02-12,2.612499952316284,16.024633407592773,17.941865921020508,24.090621948242188,13.25,7.553982734680176,2.5915415287017822,2321.889892578125
1999-02-16,2.465625047683716,16.024633407592773,17.92413330078125,23.861560821533203,12.5,7.120896339416504,2.6084797382354736,2313.8701171875
1999-02-17,2.3375000953674316,15.387683868408203,17.675920486450195,22.9071044921875,12.46875,6.8293986320495605,2.518948554992676,2248.909912109375
1999-02-18,2.237499952316284,15.559565544128418,18.172334671020508,22.2580623626709,12.46875,6.771097660064697,2.4741837978363037,2260.550048828125
1999-02-19,2.546875,15.711216926574707,18.163476943969727,22.563491821289062,12.5,7.220839977264404,2.511690378189087,2283.60009765625
1999-02-22,2.6624999046325684,16.50992202758789,18.837177276611328,22.725753784179688,13.0,7.270809650421143,2.7633438110351562,2342.010009765625
1999-02-23,2.879688024520874,16.65146255493164,19.04106330871582,23.73748779296875,12.5,7.795511245727539,2.8504526615142822,2376.35009765625
1999-02-24,2.773437976837158,16.166175842285156,18.491464614868164,23.346162796020508,12.3125,7.420726299285889,2.816577196121216,2339.3798828125
1999-02-25,3.125,15.933640480041504,18.119144439697266,23.44159698486328,12.5625,7.728882789611816,2.816577196121216,2326.820068359375
1999-02-26,3.203125,15.822427749633789,17.01108741760254,22.92618179321289,12.4375,7.4457106590271,2.8262553215026855,2288.030029296875
1999-03-01,3.325000047683716,16.085289001464844,16.603309631347656,23.174346923828125,12.4375,7.320781230926514,2.8020572662353516,2295.179931640625
1999-03-02,3.03281307220459,15.478683471679688,15.575024604797363,22.68756866455078,13.1875,7.058437347412109,2.855292558670044,2259.030029296875
1999-03-03,3.0875000953674316,15.387683868408203,16.266456604003906,22.849828720092773,12.6875,6.995970249176025,2.8310959339141846,2265.199951171875
1999-03-04,3.003124952316284,15.893200874328613,16.08030128479004,23.250699996948242,12.375,7.270809650421143,2.881910800933838,2292.889892578125
1999-03-05,3.0374999046325684,16.307720184326172,16.257587432861328,23.661121368408203,12.53125,7.483188629150391,2.9641809463500977,2337.110107421875
1999-03-08,3.054687976837158,16.914329528808594,16.966768264770508,24.28152847290039,12.375,7.658091068267822,3.0101571083068848,2397.6201171875
1999-03-09,3.2484378814697266,17.035654067993164,16.355104446411133,24.711029052734375,12.34375,7.745537281036377,3.0875887870788574,2392.93994140625
1999-03-10,3.4281249046325684,16.883996963500977,16.57671546936035,24.64422607421875,12.28125,7.583128929138184,3.082747220993042,2406.0
